procedure_name,purpose
NEEDLE BIOPSY LIVER PERCUTANEOUS,Diagnostics
COLONOSCOPY W/ REMOVAL TUMOR/POLYP/LESION BY SNARE TECHNIQUE,Tumor removal
COLONOSCOPY W/ REMOVAL TUMOR/POLYP/LESION BY BIOPSY FORCEPS/BIPOLAR CAUTERY,Tumor removal
"UPPER GI ENDOSCOPY; W/BX, SINGLE/MULTIPLE",Diagnostics
COLONOSCOPY WITH SUBMUCOUS INJECTION,Tumor removal
UPPER GI ENDO INCL ESOPHAGUS/ STOMACH AND EIT,Diagnostics
COLONOSCOPY COMPREHENSIVE W/ BIOPSY,Diagnostics
"CRANIOTOMY, WITH SUPRATENTORIAL NEOPLASM EXCISION",Tumor removal
"BIOPSY, MUSCLE",Diagnostics
SPERM IDENTIFICATION FROM TESTIS TISSUE FRESH/CRYOPRESERVED,Diagnostics
BIOPSY TESTIS INCISIONAL,Diagnostics
COLONOSCOPY W/CONTROL OF BLEEDING,Hemostasis
UGI ENDOSCOPY W/ TRANSENDOSCOPIC ULTRASOUND INTRAMURAL OR TRANSMURAL FINE NEEDLE ASPIRATION/ BIOPSY,Diagnostics
UPPER GI ENDO INCL ESOPHAGUS/STOMACH/DUODENUM/JEJUNUM W/ BIOPSY SINGLE OR MULTIPLE,Diagnostics
DIRECT LARYNGOSCOPY DIAGNOSTIC,Diagnostics
CERVICAL LYMPHADENECTOMY (MODIFIED RADICAL NECK),Tumor removal
"RESECTION OF RECURRANT OVRIAN, TUBAL, PRIMARY PERITONEAL, UTERINE MALIGNANCY, WITH OMENTECTOMY",Tumor removal
CYSTECTOMY PARTIAL W/ REIMPLANTATION URETER/S INTO BLADDER,Tumor removal
EXPLORATORY LAPAROTOMY/ EXPLORATORY CELIOTOMY,Diagnostics
VA PLACE MEDIPORT CHEST SINGLE LUMEN,Access
VA PLACE MEDIPORT CHEST SINGLE LUMEN,Access
UGI ENDOSCOPY W/ DRAINAGE PEG PLACEMENT,Access
"CYSTOSCOPY, WITH TURB",Tumor removal
IR VA CHEST PORT PLACEMENT - SINGLE LUMEN,Access
"CYSTECTOMY, WITH NEOBLADDER CREATION",Reconstruction/Repair
ABSCESS CATHETER PLACE,Access
IR ABSCESS CATHETER PLACE,Other
ABSCESS CATHETER CHECK,Diagnostics
IR ABSCESS CATHETER CHECK,Other
